Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,
2020-04-09,888.0281982421875,570.9328002929688,549.7877807617188,1650.1033935546875,893.6441082457919,585.7837721993799,555.5788009511338,1661.9222356267924,854.380959802175,567.2088159157508,537.6423961192238,1617.4497493768372,876.4604677521188,580.3997300748097,547.1063150136937,1635.434909123652,22228573,11931114,33032857,5307397
2020-04-13,859.516845703125,571.9647827148438,535.9072875976562,1643.6568603515625,908.8117836679345,584.7967392532029,547.5569542233701,1669.5835210733223,850.7330763657886,561.7799364940469,531.7836779259251,1631.2774637907223,896.6200433091601,564.4271015809196,542.5771071109011,1645.2918749916735,17079028,8330276,23673784,2990438
2020-04-15,828.7494506835938,573.4453125,518.1961669921875,1621.140625,893.2600194198274,586.2324118806706,557.020889478447,1692.9411123928362,809.261898302971,570.3494774855554,515.109115344497,1614.273585350708,893.2600194198274,584.5274981581647,539.4675099683548,1667.7151686651284,28989376,11963447,35321842,4761399
2020-04-16,844.5411376953125,559.8058471679688,526.3982543945312,1603.2957763671875,855.052914640017,569.7215034756667,535.1411301457156,1648.9360300334827,821.9816415477253,541.5449899610201,516.0104713406037,1564.9897101333124,830.3814539431036,556.3062520911201,518.1961601948689,1597.596489907348,26927198,17783287,37455706,6245533
2020-04-17,873.8685302734375,564.2027587890625,551.6129150390625,1687.5218505859375,883.1803346507442,579.6818802031561,554.3169432723842,1730.265802945263,851.741034694427,561.7350727665258,537.4846051798636,1637.8174532436628,878.3804415276423,577.887199459493,548.0076443397419,1681.7292731537896,27941731,8878320,33269335,9895823
2020-04-20,907.0357666015625,586.2323608398438,560.5361328125,1699.1541748046875,922.491457384505,593.1418915592199,566.4848507463438,1709.7583911970032,897.5800007260784,573.4004065148888,541.6983655764818,1684.0653006189063,912.9396584925139,574.2977467441766,552.5142984112896,1709.7583911970032,33116493,13322913,36030932,3244282
2020-04-21,884.7642822265625,568.1958618164062,557.6293334960938,1623.47607421875,896.6199942597219,580.1304762833793,564.2315258524578,1676.6840745965255,871.6605511646976,563.3502025197752,524.573126080387,1614.1797800176994,887.9801870345212,563.3502025197752,545.3036286201695,1649.028993604349,16589003,11660575,61371628,5122541
2020-04-22,891.43603515625,575.9578247070312,614.525634765625,1653.2335205078125,895.6599641045441,578.7844684373536,624.124808501352,1672.3865508386461,870.9885042858559,563.574540057116,585.8634292855354,1606.191832236876,882.3642849661201,568.1958643097246,594.8766961513567,1623.4762742427504,19144677,8266728,142683366,3829836
2020-04-23,916.7315673828125,609.5632934570312,617.8155517578125,1754.8382568359375,920.139479663076,613.4667568709314,624.5529998842844,1775.159157720368,876.0284516790492,572.5928598007864,609.8838474952585,1645.1520839647703,897.579982769928,580.6240669484912,616.2157094152046,1663.0438424959239,20450611,14451289,65464502,5934366
2020-04-24,900.5078735351562,590.4498901367188,638.5911254882812,1699.060791015625,920.0434723225294,605.7046745323482,673.7203872321006,1730.2661265699503,888.9401436435955,587.5783903554455,607.1347621059779,1689.0171282001925,895.6599935415493,599.9168189107342,608.4642135302723,1719.7553166468233,16642284,7319940,134986308,2987102
2020-04-27,892.4921264648438,596.3723754882812,644.3370971679688,1715.9246826171875,919.0835457110018,611.0887791554005,664.7296407116276,1751.8016022409997,889.2281757501015,593.1868281954445,641.2951105481634,1705.0868928479065,907.3238077249387,593.1868281954445,646.2523953358174,1711.9072860391316,13710536,7183306,58482901,3374741
2020-04-28,894.1240844726562,592.872802734375,643.6160278320312,1736.8994140625,906.0277838639396,607.4994400414821,655.9191090177892,1745.261300261377,885.1002622663689,586.0081268882204,627.3920998795599,1712.1872677998294,906.0277838639396,603.910078505048,653.4630293771176,1742.45841808751,14720718,7296571,78453401,2678505
2020-04-29,937.9950561523438,607.0955810546875,643.0751953125,1780.4375,952.9707573006389,611.9860967405665,655.1079460605569,1786.8841518302538,896.7159768131351,590.4499291133325,639.9430785176183,1728.490773022823,897.5799809804679,597.6286516557439,651.1646569232698,1750.8670701620033,27938889,8639056,37494672,4241510
